state-code,percent-two,percent-three,3-to-2-ratio
30,0.26,0.51,1.9615384615384615
03,0.19,0.28,1.473684210526316
04,0.24,0.31,1.2916666666666667
09,0.1,0.01,0.09999999999999999
08,0.09,0.01,0.11111111111111112
33,0.25,0.03,0.12
