state-code,male-percentage,female-percentage,p-value
0,20.24,17.5,0.34043254599067563
1,35.78,29.0,0.5370344780696732
2,13.89,12.18,0.3063303266624068
3,19.81,17.59,0.5688119155843847
4,24.86,23.93,0.7332771460408811
5,17.0,14.08,0.2708329639366195
6,19.09,15.86,0.29384486732713044
7,33.95,30.87,0.5875413796864789
8,10.54,8.24,0.2682295505559342
9,11.26,8.94,0.23499790902044113
10,15.5,13.38,0.30210891752615865
11,35.26,32.58,0.8832291962482016
12,33.86,33.69,0.8544321262487684
13,34.68,35.32,0.800517940961238
14,28.09,25.95,0.5888705069586452
15,25.11,21.64,0.38535662662587966
16,31.18,26.99,0.40204741678466105
17,18.79,18.1,0.4477884983944802
18,33.52,31.21,0.5182457697726552
19,14.94,11.59,0.2747666636542194
20,26.63,24.28,0.39186238937144946
21,21.24,18.27,0.4146233205831582
22,12.28,10.9,0.30005126302047536
23,12.54,10.95,0.29758074405284507
24,31.37,25.71,0.4593026145485146
25,32.87,35.1,0.8474819496757048
26,35.59,39.02,0.7040644694946198
27,35.33,31.62,0.5790307281227037
28,19.69,16.33,0.3434644981280853
29,27.49,26.24,0.4939896784434915
30,25.98,26.81,0.7312864671011704
31,14.8,11.7,0.3795940920126415
32,15.97,13.9,0.3362030527511226
33,26.54,23.27,0.346069979454243
34,28.21,23.27,0.35423476537312726
35,49.55,47.37,0.814565499898011
