state-code,percent-one,percent-two,2-to-1-ratio
35,0.32,0.49,1.53125
30,0.23,0.26,1.1304347826086956
11,0.36,0.34,0.9444444444444445
08,0.89,0.09,0.10112359550561797
09,0.89,0.1,0.11235955056179776
22,0.87,0.12,0.13793103448275862
