region,language-1,language-2,language-3
North,HINDI ,PUNJABI ,ENGLISH 
West,HINDI ,MARATHI ,GUJARATI
Central,HINDI ,ENGLISH ,URDU
East,HINDI ,BENGALI ,ODIA 
South,TELUGU ,TAMIL ,KANNADA
North_East,ASSAMESE,BENGALI ,HINDI 
